fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ReportType
2023-09-30,USD,169148000000,379352000000,239069000000,214137000000,114301000000,24932000000,29915000000,54847000000,3750000000,-3933000000,183000000,3933000000,383285000000,-382000000,8500000000,11519000000,113736000000,16741000000,3933000000,96995000000,96652000000,117669000000,125820000000,96995000000,Annual
2022-09-30,USD,170782000000,391397000000,248640000000,223546000000,119437000000,25094000000,26251000000,51345000000,2825000000,-2931000000,106000000,2931000000,394328000000,-228000000,8700000000,11104000000,119103000000,19300000000,2931000000,99803000000,88531000000,122034000000,130541000000,99803000000,Annual
2021-09-30,USD,152836000000,363172000000,234954000000,212981000000,108949000000,21973000000,21914000000,43887000000,2843000000,-2645000000,2843000000,2645000000,365817000000,60000000,9500000000,11284000000,109207000000,14527000000,2645000000,94680000000,95249000000,111852000000,120233000000,94680000000,Annual
2020-09-30,USD,104956000000,271642000000,189475000000,169559000000,66288000000,19916000000,18752000000,38668000000,3763000000,-2873000000,3763000000,2873000000,274515000000,-87000000,9700000000,11056000000,67091000000,9680000000,2873000000,57411000000,57453000000,69964000000,77344000000,57411000000,Annual
2019-09-30,USD,98392000000,256598000000,180027000000,161782000000,63930000000,18245000000,16217000000,34462000000,4961000000,-3576000000,4961000000,3576000000,260174000000,422000000,11300000000,12547000000,65737000000,10481000000,3576000000,55256000000,58037000000,69313000000,76477000000,55256000000,Annual
2018-09-30,USD,101839000000,265595000000,163756000000,163756000000,70898000000,16705000000,14236000000,30941000000,5686000000,-3240000000,5686000000,3240000000,265595000000,-441000000,9300000000,10903000000,72903000000,13372000000,3240000000,59531000000,56505000000,76143000000,81801000000,59531000000,Annual
2017-09-30,USD,88186000000,229234000000,141048000000,141048000000,61344000000,15261000000,11581000000,26842000000,5201000000,-2323000000,5201000000,2323000000,229234000000,-133000000,8200000000,1200000000,64089000000,15738000000,2323000000,48351000000,47567000000,66412000000,67612000000,48351000000,Annual
2016-09-30,USD,84263000000,215639000000,131376000000,131376000000,60024000000,14194000000,10045000000,24239000000,3999000000,-1456000000,3999000000,1456000000,None,-1195000000,8300000000,8300000000,61372000000,15685000000,1456000000,45687000000,46666000000,62828000000,71128000000,45687000000,Annual
2015-09-30,USD,93626000000,232982000000,163618000000,140089000000,71230000000,14329000000,8067000000,22396000000,2921000000,-733000000,None,733000000,None,-903000000,None,9200000000,72515000000,19121000000,733000000,53394000000,51967000000,73248000000,82448000000,53394000000,Annual
2014-09-30,USD,70537000000,182411000000,131151000000,112258000000,52503000000,11993000000,6041000000,18034000000,1795000000,-384000000,None,384000000,None,-431000000,None,6900000000,53483000000,13973000000,384000000,39510000000,41063000000,53867000000,60767000000,39510000000,Annual
2013-09-30,USD,64304000000,170774000000,123236000000,106606000000,48999000000,10830000000,4475000000,15305000000,1616000000,-136000000,None,136000000,None,-324000000,None,5800000000,50155000000,13118000000,136000000,37037000000,36067000000,50291000000,56091000000,37037000000,Annual
2012-09-30,USD,68662000000,156508000000,100486000000,87846000000,55241000000,10040000000,3381000000,13421000000,1088000000,0,None,0,None,-566000000,None,2600000000,55763000000,14030000000,0,41733000000,41789000000,55763000000,58363000000,41733000000,Annual
2011-09-30,USD,43818000000,108249000000,73630000000,64431000000,33790000000,7599000000,2429000000,10028000000,519000000,0,None,0,None,-104000000,None,1600000000,34205000000,8283000000,0,25922000000,26411000000,34205000000,35805000000,25922000000,Annual
2010-09-30,USD,25684000000,65225000000,45873000000,39541000000,18385000000,5517000000,1782000000,7299000000,None,None,None,155000000,None,155000000,None,815000000,18540000000,4527000000,None,14013000000,13890000000,18385000000,19200000000,14013000000,Annual
2009-09-30,USD,17222000000,42905000000,29832000000,25683000000,11740000000,4149000000,1333000000,5482000000,None,None,None,326000000,None,326000000,None,606000000,12066000000,3831000000,None,8235000000,8321000000,11740000000,12346000000,8235000000,Annual
2024-03-31,USD,42271000000,90753000000,54950000000,48482000000,27900000000,6468000000,7903000000,14371000000,None,None,None,None,90753000000,None,None,2836000000,28058000000,4422000000,None,23636000000,24054000000,27900000000,30736000000,23636000000,Quarterly
2023-12-31,USD,54855000000,119575000000,71506000000,64720000000,40373000000,6786000000,7696000000,14482000000,None,None,None,1002000000,119575000000,None,None,2848000000,40323000000,6407000000,None,33916000000,35990000000,40373000000,43221000000,33916000000,Quarterly
2023-09-30,USD,40427000000,88496000000,55222000000,49071000000,26969000000,6151000000,7307000000,13458000000,984000000,-1002000000,18000000,1002000000,89498000000,47000000,None,2653000000,26998000000,4042000000,1002000000,22956000000,23305000000,28000000000,29622000000,22956000000,Quarterly
2023-06-30,USD,36413000000,80799000000,51357000000,45384000000,22998000000,5973000000,7442000000,13415000000,980000000,-998000000,18000000,998000000,81797000000,-247000000,None,3052000000,22733000000,2852000000,998000000,19881000000,19826000000,23731000000,26050000000,19881000000,Quarterly
2023-03-31,USD,41976000000,94836000000,59061000000,52860000000,28318000000,6201000000,7457000000,13658000000,None,-12000000,12000000,930000000,94836000000,76000000,None,2898000000,28382000000,4222000000,None,24160000000,25326000000,29312000000,31216000000,24160000000,Quarterly
2022-12-31,USD,50332000000,116151000000,73429000000,66822000000,36016000000,6607000000,7709000000,14316000000,868000000,-1003000000,135000000,1003000000,117154000000,-258000000,None,2916000000,35623000000,5625000000,1003000000,29998000000,28195000000,36626000000,38932000000,29998000000,Quarterly
2022-09-30,USD,38095000000,89319000000,58491000000,52051000000,24894000000,6440000000,6761000000,13201000000,753000000,-827000000,74000000,827000000,90146000000,-163000000,None,2865000000,24657000000,3936000000,827000000,20721000000,18909000000,25484000000,27759000000,20721000000,Quarterly
